,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
3,Rudy Camacho,"$ 15,385","$ 800,000",CB,30,Starter,"Dec 31, 2021",1-yr,"$ 800,000",Montreal Impact,Mls,2021
4,Romell Quioto,"$ 15,385","$ 800,000",LW,29,Starter,"Dec 31, 2022",2-yrs,"$ 1,600,000",Montreal Impact,Mls,2021
5,Djordje Mihailovic,"$ 11,538","$ 600,000",AM,22,Starter,"Dec 31, 2023",3-yrs,"$ 1,800,000",Montreal Impact,Mls,2021
6,Samuel Piette,"$ 8,173","$ 425,000",DM,26,Starter,"Dec 31, 2022",2-yrs,"$ 850,000",Montreal Impact,Mls,2021
7,Ahmed Hamdi,"$ 7,692","$ 400,000",AM,23,Reserve,"Dec 31, 2021",1-yr,"$ 400,000",Montreal Impact,Mls,2021
8,Lassi Lappalainen,"$ 7,378","$ 383,657",LW,22,Reserve,"Dec 31, 2021",1-yr,"$ 383,657",Montreal Impact,Mls,2021
9,Luis Binks,"$ 5,000","$ 260,000",CB,19,Reserve,"Dec 31, 2021",1-yr,"$ 260,000",Montreal Impact,Mls,2021
10,Ballou Tabla,"$ 4,808","$ 250,000",LW,22,Reserve,"Dec 31, 2021",1-yr,"$ 250,000",Montreal Impact,Mls,2021
11,Erik Hurtado,"$ 4,196","$ 218,182",CF,30,Reserve,"Dec 31, 2021",1-yr,"$ 218,182",Montreal Impact,Mls,2021
12,Sunusi Ibrahim,"$ 3,846","$ 200,000",RW,18,Reserve,"Dec 31, 2023",3-yrs,"$ 600,000",Montreal Impact,Mls,2021
13,Joaquin Torres,"$ 3,846","$ 200,000",RW,24,Reserve,"Dec 31, 2021",1-yr,"$ 200,000",Montreal Impact,Mls,2021
14,Mason Toye,"$ 3,365","$ 175,000",CF,22,Starter,"Dec 31, 2021",1-yr,"$ 175,000",Montreal Impact,Mls,2021
15,Zachary Brault-Guillard,"$ 3,269","$ 170,000",RB,22,Starter,"Dec 31, 2021",1-yr,"$ 170,000",Montreal Impact,Mls,2021
16,Clément Diop,"$ 3,077","$ 160,000",GK,27,Starter,"Dec 31, 2021",1-yr,"$ 160,000",Montreal Impact,Mls,2021
17,Mustafa Kizza,"$ 2,885","$ 150,000",LB,21,Starter,"Dec 31, 2021",1-yr,"$ 150,000",Montreal Impact,Mls,2021
18,James Pantemis,"$ 2,500","$ 130,000",GK,24,Reserve,"Dec 31, 2022",2-yrs,"$ 260,000",Montreal Impact,Mls,2021
19,Emanuel Maciel,"$ 2,273","$ 118,182",CM,24,Reserve,"Dec 31, 2021",1-yr,"$ 118,182",Montreal Impact,Mls,2021
20,Mathieu Choinière,"$ 2,019","$ 105,000",LW,22,Reserve,"Dec 31, 2021",1-yr,"$ 105,000",Montreal Impact,Mls,2021
21,Clément Bayiha,"$ 1,644","$ 85,500",RW,22,Reserve,"Dec 31, 2021",1-yr,"$ 85,500",Montreal Impact,Mls,2021
22,Kamal Miller,"$ 1,643","$ 85,444",LB,24,Starter,"Dec 31, 2021",1-yr,"$ 85,444",Montreal Impact,Mls,2021
23,Zorhan Bassong,"$ 1,565","$ 81,375",LB,22,Reserve,"Dec 31, 2022",2-yrs,"$ 162,750",Montreal Impact,Mls,2021
24,Joel Waterman,"$ 1,565","$ 81,375",CB,25,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Montreal Impact,Mls,2021
25,Amar Sejdic,"$ 1,565","$ 81,375",DM,24,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Montreal Impact,Mls,2021
26,Jean-Aniel Assi,"$ 1,222","$ 63,547",CF,16,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Montreal Impact,Mls,2021
27,Nathan-Dylan Saliba,"$ 1,222","$ 63,547",CM,17,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Montreal Impact,Mls,2021
28,Rida Zouhir,"$ 1,222","$ 63,547",CM,17,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Montreal Impact,Mls,2021
29,Sebastian Breza,"$ 1,222","$ 63,547",GK,23,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Montreal Impact,Mls,2021
0,Hany Mukhtar,"$ 28,942","$ 1,505,000",AM,26,Starter,"Dec 31, 2021",1-yr,"$ 1,505,000",Nashville Sc,Mls,2021
1,Walker Zimmerman,"$ 17,788","$ 925,000",CB,27,Starter,"Dec 31, 2023",3-yrs,"$ 2,775,000",Nashville Sc,Mls,2021
2,Jhonder Cádiz,"$ 17,356","$ 902,500",CF,25,Starter,"Jun 30, 2021",1-yr,"$ 902,500",Nashville Sc,Mls,2021
3,Dax McCarty,"$ 13,942","$ 725,000",CM,34,Starter,"Dec 31, 2021",1-yr,"$ 725,000",Nashville Sc,Mls,2021
4,Aníbal Godoy,"$ 13,462","$ 700,000",DM,31,Starter,"Dec 31, 2021",1-yr,"$ 700,000",Nashville Sc,Mls,2021
5,Randall Leal,"$ 8,077","$ 420,000",LW,24,Starter,"Dec 31, 2021",1-yr,"$ 420,000",Nashville Sc,Mls,2021
6,CJ Sapong,"$ 7,692","$ 400,000",CF,32,Reserve,"Dec 31, 2023",3-yrs,"$ 1,200,000",Nashville Sc,Mls,2021
7,Daniel Lovitz,"$ 7,404","$ 385,000",LB,29,Starter,"Dec 31, 2021",1-yr,"$ 385,000",Nashville Sc,Mls,2021
8,Dominique Badji,"$ 5,769","$ 300,000",CF,28,Reserve,"Dec 31, 2021",1-yr,"$ 300,000",Nashville Sc,Mls,2021
9,Joe Willis,"$ 5,769","$ 300,000",GK,32,Starter,"Dec 31, 2021",1-yr,"$ 300,000",Nashville Sc,Mls,2021
10,Rodrigo Piñeiro,"$ 4,808","$ 250,000",RW,22,Reserve,"Dec 31, 2023",3-yrs,"$ 750,000",Nashville Sc,Mls,2021
11,Alex Muyl,"$ 4,615","$ 240,000",RW,25,Starter,"Dec 31, 2021",1-yr,"$ 240,000",Nashville Sc,Mls,2021
12,Dave Romney,"$ 4,327","$ 225,000",CB,27,Starter,"Dec 31, 2021",1-yr,"$ 225,000",Nashville Sc,Mls,2021
13,Jalil Anibaba,"$ 3,846","$ 200,000",CB,32,Reserve,"Dec 31, 2021",1-yr,"$ 200,000",Nashville Sc,Mls,2021
14,Abu Danladi,"$ 3,462","$ 180,000",CF,25,Reserve,"Dec 31, 2021",1-yr,"$ 180,000",Nashville Sc,Mls,2021
15,Eric Miller,"$ 2,827","$ 147,000",RB,28,Reserve,"Dec 31, 2021",1-yr,"$ 147,000",Nashville Sc,Mls,2021
16,Daniel Ríos,"$ 2,692","$ 140,000",CF,26,Reserve,"Dec 31, 2022",2-yrs,"$ 280,000",Nashville Sc,Mls,2021
17,Jack Maher,"$ 2,212","$ 115,000",CB,21,Reserve,"Dec 31, 2021",1-yr,"$ 115,000",Nashville Sc,Mls,2021
18,Dylan Nealis,"$ 1,923","$ 100,000",RB,22,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",Nashville Sc,Mls,2021
19,Taylor Washington,"$ 1,721","$ 89,513",LB,27,Reserve,"Dec 31, 2021",1-yr,"$ 89,513",Nashville Sc,Mls,2021
20,Handwalla Bwana,"$ 1,643","$ 85,444",LW,21,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Nashville Sc,Mls,2021
21,Matt LaGrassa,"$ 1,643","$ 85,444",DM,28,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Nashville Sc,Mls,2021
22,Bryan Meredith,"$ 1,565","$ 81,375",GK,31,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Nashville Sc,Mls,2021
23,Tah Anunga,"$ 1,565","$ 81,375",CM,24,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Nashville Sc,Mls,2021
24,Alistair Johnston,"$ 1,405","$ 73,079",RB,22,Starter,"Dec 31, 2021",1-yr,"$ 73,079",Nashville Sc,Mls,2021
25,Luke Haakenson,"$ 1,283","$ 66,724",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Nashville Sc,Mls,2021
26,Robert Castellanos,"$ 1,222","$ 63,547",CB,23,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Nashville Sc,Mls,2021
27,Irakoze Donasiyano,$ 0,$ 0,AM,23,Reserve,"Dec 31, 2021",1-yr,$ 0,Nashville Sc,Mls,2021
0,Carles Gil,"$ 43,269","$ 2,250,000",AM,28,Starter,"Dec 31, 2021",1-yr,"$ 2,250,000",Ne Revolution,Mls,2021
1,Gustavo Bou,"$ 40,769","$ 2,120,000",CF,31,Reserve,"Dec 31, 2021",1-yr,"$ 2,120,000",Ne Revolution,Mls,2021
2,Adam Buksa,"$ 19,231","$ 1,000,000",CF,24,Starter,"Dec 31, 2022",2-yrs,"$ 2,000,000",Ne Revolution,Mls,2021
3,Wilfrid Kaptoum,"$ 9,615","$ 500,000",CM,24,Reserve,"Dec 31, 2021",1-yr,"$ 500,000",Ne Revolution,Mls,2021
4,Andrew Farrell,"$ 7,692","$ 400,000",RB,29,Starter,"Dec 31, 2021",1-yr,"$ 400,000",Ne Revolution,Mls,2021
5,Christian Mafla,"$ 7,692","$ 400,000",LB,28,Reserve,"Nov 30, 2021",1-yr,"$ 400,000",Ne Revolution,Mls,2021
6,Arnór Ingvi Traustason,"$ 7,212","$ 375,000",LW,28,Starter,"Dec 31, 2022",2-yrs,"$ 750,000",Ne Revolution,Mls,2021
7,Matt Turner,"$ 7,212","$ 375,000",GK,26,Starter,"Dec 31, 2021",1-yr,"$ 375,000",Ne Revolution,Mls,2021
8,Teal Bunbury,"$ 7,212","$ 375,000",CF,31,Reserve,"Dec 31, 2021",1-yr,"$ 375,000",Ne Revolution,Mls,2021
9,Luis Caicedo,"$ 6,731","$ 350,000",DM,24,Reserve,"Nov 30, 2021",1-yr,"$ 350,000",Ne Revolution,Mls,2021
10,Matt Polster,"$ 5,769","$ 300,000",DM,27,Starter,"Dec 31, 2021",1-yr,"$ 300,000",Ne Revolution,Mls,2021
11,AJ DeLaGarza,"$ 4,808","$ 250,000",RB,33,Reserve,"Dec 31, 2021",1-yr,"$ 250,000",Ne Revolution,Mls,2021
12,Tommy McNamara,"$ 4,327","$ 225,000",LW,30,Reserve,"Dec 31, 2021",1-yr,"$ 225,000",Ne Revolution,Mls,2021
13,Scott Caldwell,"$ 3,942","$ 205,000",CM,30,Reserve,"Dec 31, 2021",1-yr,"$ 205,000",Ne Revolution,Mls,2021
14,Emmanuel Boateng,"$ 3,846","$ 200,000",LM,27,Reserve,"Dec 31, 2021",1-yr,"$ 200,000",Ne Revolution,Mls,2021
15,Brandon Bye,"$ 3,269","$ 170,000",RB,25,Starter,"Dec 31, 2021",1-yr,"$ 170,000",Ne Revolution,Mls,2021
16,Brad Knighton,"$ 2,692","$ 140,000",GK,36,Reserve,"Dec 31, 2021",1-yr,"$ 140,000",Ne Revolution,Mls,2021
17,Tajon Buchanan,"$ 2,115","$ 110,000",RW,22,Starter,"Dec 31, 2021",1-yr,"$ 110,000",Ne Revolution,Mls,2021
18,Justin Rennicks,"$ 1,923","$ 100,000",CF,22,Reserve,"Nov 30, 2021",1-yr,"$ 100,000",Ne Revolution,Mls,2021
19,Henry Kessler,"$ 1,827","$ 95,000",CB,22,Reserve,"Dec 31, 2021",1-yr,"$ 95,000",Ne Revolution,Mls,2021
20,DeJuan Jones,"$ 1,827","$ 95,000",LB,23,Starter,"Dec 31, 2021",1-yr,"$ 95,000",Ne Revolution,Mls,2021
21,Collin Verfurth,"$ 1,565","$ 81,375",CB,25,Reserve,"Nov 30, 2021",1-yr,"$ 81,375",Ne Revolution,Mls,2021
22,Maciel,"$ 1,222","$ 63,547",CM,21,Starter,"Dec 31, 2021",1-yr,"$ 63,547",Ne Revolution,Mls,2021
23,Jon Bell,"$ 1,222","$ 63,547",CB,23,Starter,"Dec 31, 2021",1-yr,"$ 63,547",Ne Revolution,Mls,2021
24,Edward Kizza,"$ 1,222","$ 63,547",CF,22,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Ne Revolution,Mls,2021
25,Damien Rivera,"$ 1,222","$ 63,547",AM,18,Reserve,"Nov 30, 2021",1-yr,"$ 63,547",Ne Revolution,Mls,2021
0,Maxi Moralez,"$ 48,077","$ 2,500,000",AM,34,Reserve,"Dec 31, 2021",1-yr,"$ 2,500,000",Nyc FC,Mls,2021
1,Jesús Medina,"$ 20,192","$ 1,050,000",RW,24,Starter,"Dec 31, 2021",1-yr,"$ 1,050,000",Nyc FC,Mls,2021
2,Maxime Chanot,"$ 15,096","$ 785,000",CB,31,Starter,"Dec 31, 2021",1-yr,"$ 785,000",Nyc FC,Mls,2021
3,Héber,"$ 15,096","$ 785,000",CF,29,Reserve,"Dec 31, 2021",1-yr,"$ 785,000",Nyc FC,Mls,2021
4,Alexander Callens,"$ 13,462","$ 700,000",CB,29,Starter,"Dec 31, 2021",1-yr,"$ 700,000",Nyc FC,Mls,2021
5,Alfredo Morales,"$ 11,538","$ 600,000",CM,31,Reserve,"Dec 31, 2023",3-yrs,"$ 1,800,000",Nyc FC,Mls,2021
6,Anton Tinnerholm,"$ 11,538","$ 600,000",RB,30,Starter,"Dec 31, 2021",1-yr,"$ 600,000",Nyc FC,Mls,2021
7,Ismael Tajouri-Shradi,"$ 11,106","$ 577,500",RW,27,Starter,"Dec 31, 2021",1-yr,"$ 577,500",Nyc FC,Mls,2021
8,Sean Johnson,"$ 9,808","$ 510,000",GK,31,Starter,"Dec 31, 2021",1-yr,"$ 510,000",Nyc FC,Mls,2021
9,Gudmundur Thórarinsson,"$ 7,692","$ 400,000",CM,29,Starter,"Dec 31, 2021",1-yr,"$ 400,000",Nyc FC,Mls,2021
10,Keaton Parks,"$ 6,731","$ 350,000",DM,23,Starter,"Dec 31, 2021",1-yr,"$ 350,000",Nyc FC,Mls,2021
11,Valentín Castellanos,"$ 5,769","$ 300,000",CF,22,Starter,"Dec 31, 2025",5-yrs,"$ 1,500,000",Nyc FC,Mls,2021
12,Malte Amundsen,"$ 4,615","$ 240,000",LB,23,Reserve,"Dec 31, 2021",1-yr,"$ 240,000",Nyc FC,Mls,2021
13,Chris Gloster,"$ 3,788","$ 197,000",LB,20,Reserve,"Dec 31, 2023",3-yrs,"$ 591,000",Nyc FC,Mls,2021
14,Thiago Andrade,"$ 3,462","$ 180,000",LW,20,Reserve,"Dec 31, 2024",4-yrs,"$ 720,000",Nyc FC,Mls,2021
15,Sebastien Ibeagha,"$ 2,885","$ 150,000",CB,29,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",Nyc FC,Mls,2021
16,James Sands,"$ 2,885","$ 150,000",DM,20,Starter,"Dec 31, 2026",6-yrs,"$ 900,000",Nyc FC,Mls,2021
17,Nicolás Acevedo,"$ 2,596","$ 135,000",DM,22,Starter,"Dec 31, 2021",1-yr,"$ 135,000",Nyc FC,Mls,2021
18,Tayvon Gray,"$ 1,827","$ 95,000",CB,18,Reserve,"Dec 31, 2021",1-yr,"$ 95,000",Nyc FC,Mls,2021
19,Tony Rocha,"$ 1,643","$ 85,444",CM,27,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Nyc FC,Mls,2021
20,Gedion Zelalem,"$ 1,565","$ 81,375",CM,24,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Nyc FC,Mls,2021
21,Cody Mizell,"$ 1,565","$ 81,375",GK,29,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Nyc FC,Mls,2021
22,Luis Barraza,"$ 1,565","$ 81,375",GK,24,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Nyc FC,Mls,2021
23,Justin Haak,"$ 1,565","$ 81,375",CM,19,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Nyc FC,Mls,2021
24,Vuk Latinovich,"$ 1,222","$ 63,547",CB,23,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Nyc FC,Mls,2021
25,Andres Jasson,"$ 1,222","$ 63,547",LW,19,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Nyc FC,Mls,2021
0,Patryk Klimala,"$ 19,231","$ 1,000,000",CF,22,Reserve,"Dec 31, 2024",4-yrs,"$ 4,000,000",Ny Red Bulls,Mls,2021
1,Aaron Long,"$ 17,212","$ 895,000",CB,28,Starter,"Dec 31, 2021",1-yr,"$ 895,000",Ny Red Bulls,Mls,2021
2,Daniel Royer,"$ 14,423","$ 750,000",LW,30,Reserve,"Dec 31, 2021",1-yr,"$ 750,000",Ny Red Bulls,Mls,2021
3,Dru Yearwood,"$ 9,135","$ 475,000",CM,21,Reserve,"Dec 31, 2021",1-yr,"$ 475,000",Ny Red Bulls,Mls,2021
4,Carlos Coronel,"$ 8,904","$ 462,996",GK,24,Starter,"Dec 30, 2021",1-yr,"$ 462,996",Ny Red Bulls,Mls,2021
5,Tom Edwards,"$ 7,883","$ 409,911",RB,22,Reserve,"Dec 31, 2021",1-yr,"$ 409,911",Ny Red Bulls,Mls,2021
6,Andrés Reyes,"$ 7,692","$ 400,000",CB,21,Reserve,"Dec 31, 2021",1-yr,"$ 400,000",Ny Red Bulls,Mls,2021
7,Amro Tarek,"$ 7,692","$ 400,000",CB,29,Reserve,"Dec 31, 2021",1-yr,"$ 400,000",Ny Red Bulls,Mls,2021
8,Fábio,"$ 7,308","$ 380,000",CF,23,Starter,"Jun 30, 2021",1-yr,"$ 380,000",Ny Red Bulls,Mls,2021
9,Sean Davis,"$ 7,212","$ 375,000",CM,28,Starter,"Dec 31, 2021",1-yr,"$ 375,000",Ny Red Bulls,Mls,2021
10,Youba Diarra,"$ 6,481","$ 337,000",CM,23,Reserve,"Dec 31, 2021",1-yr,"$ 337,000",Ny Red Bulls,Mls,2021
11,Jason Pendant,"$ 6,250","$ 325,000",LB,24,Reserve,"Dec 31, 2021",1-yr,"$ 325,000",Ny Red Bulls,Mls,2021
12,David Jensen,"$ 6,250","$ 324,996",GK,29,Reserve,"Dec 31, 2022",2-yrs,"$ 649,992",Ny Red Bulls,Mls,2021
13,Mandela Egbo,"$ 5,308","$ 276,000",RB,23,Reserve,"Dec 31, 2021",1-yr,"$ 276,000",Ny Red Bulls,Mls,2021
14,Andrew Gutman,"$ 5,288","$ 275,000",LB,24,Starter,"Dec 31, 2021",1-yr,"$ 275,000",Ny Red Bulls,Mls,2021
15,Ryan Meara,"$ 5,192","$ 270,000",GK,30,Reserve,"Dec 31, 2021",1-yr,"$ 270,000",Ny Red Bulls,Mls,2021
16,Brian White,"$ 4,154","$ 216,000",CF,25,Reserve,"Dec 31, 2021",1-yr,"$ 216,000",Ny Red Bulls,Mls,2021
17,Cristhian Cásseres Jr,"$ 3,942","$ 205,000",CM,21,Starter,"Dec 31, 2021",1-yr,"$ 205,000",Ny Red Bulls,Mls,2021
18,Cameron Harper,"$ 3,846","$ 200,000",RW,19,Reserve,"Dec 31, 2023",3-yrs,"$ 600,000",Ny Red Bulls,Mls,2021
19,Frankie Amaya,"$ 2,885","$ 150,000",AM,20,Starter,"Dec 31, 2024",4-yrs,"$ 600,000",Ny Red Bulls,Mls,2021
20,Omir Fernandez,"$ 2,212","$ 115,000",RW,22,Reserve,"Dec 31, 2021",1-yr,"$ 115,000",Ny Red Bulls,Mls,2021
21,Florian Valot,"$ 1,800","$ 93,581",RW,28,Reserve,"Dec 31, 2021",1-yr,"$ 93,581",Ny Red Bulls,Mls,2021
22,Kyle Duncan,"$ 1,800","$ 93,581",RB,23,Starter,"Dec 31, 2021",1-yr,"$ 93,581",Ny Red Bulls,Mls,2021
23,John Tolkin,"$ 1,643","$ 85,444",LB,18,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Ny Red Bulls,Mls,2021
24,Sean Nealis,"$ 1,565","$ 81,375",CB,24,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Ny Red Bulls,Mls,2021
25,Tom Barlow,"$ 1,565","$ 81,375",CF,25,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Ny Red Bulls,Mls,2021
26,Caden Clark,"$ 1,222","$ 63,547",AM,17,Starter,"Dec 31, 2021",1-yr,"$ 63,547",Ny Red Bulls,Mls,2021
27,Bento Estrela,"$ 1,222","$ 63,547",CM,15,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Ny Red Bulls,Mls,2021
28,Wikelman Carmona,"$ 1,222","$ 63,547",AM,18,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Ny Red Bulls,Mls,2021
29,Luca Lewis,"$ 1,222","$ 63,547",GK,20,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Ny Red Bulls,Mls,2021
0,Nani,"$ 44,872","$ 2,333,333",LW,34,Starter,"Dec 31, 2021",1-yr,"$ 2,333,333",Orlando City,Mls,2021
1,Mauricio Pereyra,"$ 34,615","$ 1,800,000",AM,31,Starter,"Dec 31, 2021",1-yr,"$ 1,800,000",Orlando City,Mls,2021
2,Antônio Carlos,"$ 16,154","$ 840,000",CB,28,Starter,"Dec 31, 2023",3-yrs,"$ 2,520,000",Orlando City,Mls,2021
3,Júnior Urso,"$ 13,462","$ 700,000",CM,32,Starter,"Dec 31, 2021",1-yr,"$ 700,000",Orlando City,Mls,2021
4,Jhegson Méndez,"$ 10,577","$ 550,000",DM,24,Starter,"Dec 31, 2021",1-yr,"$ 550,000",Orlando City,Mls,2021
5,Robin Jansson,"$ 9,615","$ 500,000",CB,29,Reserve,"Dec 31, 2021",1-yr,"$ 500,000",Orlando City,Mls,2021
6,Oriol Rosell,"$ 9,135","$ 475,000",DM,28,Reserve,"Dec 31, 2021",1-yr,"$ 475,000",Orlando City,Mls,2021
7,Pedro Gallese,"$ 7,885","$ 410,000",GK,31,Starter,"Dec 31, 2021",1-yr,"$ 410,000",Orlando City,Mls,2021
8,Silvester van der Water,"$ 5,769","$ 300,000",RW,24,Reserve,"Dec 31, 2023",3-yrs,"$ 900,000",Orlando City,Mls,2021
9,Tesho Akindele,"$ 5,288","$ 275,000",CF,29,Starter,"Dec 31, 2021",1-yr,"$ 275,000",Orlando City,Mls,2021
10,Brandon Austin,"$ 5,245","$ 272,727",GK,22,Reserve,"Dec 31, 2021",1-yr,"$ 272,727",Orlando City,Mls,2021
11,Alexandre Pato,"$ 5,245","$ 272,727",CF,31,Reserve,"Dec 31, 2021",1-yr,"$ 272,727",Orlando City,Mls,2021
12,Matheus Aiás,"$ 4,846","$ 252,000",CF,24,Reserve,"Dec 31, 2022",2-yrs,"$ 504,000",Orlando City,Mls,2021
13,Alexander Alvarado,"$ 4,231","$ 220,000",LW,22,Reserve,"Dec 31, 2021",1-yr,"$ 220,000",Orlando City,Mls,2021
14,Ruan,"$ 3,654","$ 190,000",RB,25,Reserve,"Dec 31, 2021",1-yr,"$ 190,000",Orlando City,Mls,2021
15,João Moutinho,"$ 3,462","$ 180,000",LB,23,Starter,"Dec 31, 2021",1-yr,"$ 180,000",Orlando City,Mls,2021
16,Andrés Perea,"$ 3,462","$ 180,000",DM,20,Reserve,"Dec 31, 2021",1-yr,"$ 180,000",Orlando City,Mls,2021
17,Chris Mueller,"$ 2,379","$ 123,715",RW,24,Starter,"Dec 31, 2021",1-yr,"$ 123,715",Orlando City,Mls,2021
18,Rodrigo Schlegel,"$ 2,308","$ 120,000",CB,24,Starter,"Dec 31, 2021",1-yr,"$ 120,000",Orlando City,Mls,2021
19,Benji Michel,"$ 2,101","$ 109,250",CF,23,Reserve,"Dec 31, 2021",1-yr,"$ 109,250",Orlando City,Mls,2021
20,Kyle Smith,"$ 2,038","$ 105,996",RB,29,Starter,"Dec 31, 2021",1-yr,"$ 105,996",Orlando City,Mls,2021
21,David Loera,"$ 1,923","$ 100,000",CF,22,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",Orlando City,Mls,2021
22,Mason Stajduhar,"$ 1,643","$ 85,444",GK,23,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Orlando City,Mls,2021
23,Michael Halliday,"$ 1,643","$ 85,444",RB,18,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Orlando City,Mls,2021
24,Joey DeZart,"$ 1,283","$ 66,724",DM,22,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Orlando City,Mls,2021
25,Rio Hope-Gund,"$ 1,222","$ 63,547",CB,21,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Orlando City,Mls,2021
26,Raul Aguilera,"$ 1,222","$ 63,547",DM,21,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Orlando City,Mls,2021
27,Derek Dodson,$ 0,$ 0,CF,23,Reserve,"Dec 31, 2021",1-yr,$ 0,Orlando City,Mls,2021
28,Brian Rowe,$ 0,$ 0,GK,32,Reserve,"Dec 31, 2021",1-yr,$ 0,Orlando City,Mls,2021
29,Wilfredo Rivera,$ 0,$ 0,LM,17,Reserve,"Dec 31, 2023",3-yrs,$ 0,Orlando City,Mls,2021
0,Jamiro Monteiro,"$ 25,000","$ 1,300,000",CM,27,Starter,"Dec 31, 2022",2-yrs,"$ 2,600,000",Philadelphia Union,Mls,2021
1,Kacper Przybylko,"$ 15,865","$ 825,000",CF,28,Starter,"Dec 31, 2023",3-yrs,"$ 2,475,000",Philadelphia Union,Mls,2021
2,Alejandro Bedoya,"$ 15,577","$ 810,000",CM,34,Starter,"Dec 31, 2021",1-yr,"$ 810,000",Philadelphia Union,Mls,2021
3,Sergio Santos,"$ 12,692","$ 660,000",CF,26,Reserve,"Dec 31, 2022",2-yrs,"$ 1,320,000",Philadelphia Union,Mls,2021
4,Andre Blake,"$ 11,538","$ 600,000",GK,30,Starter,"Dec 31, 2021",1-yr,"$ 600,000",Philadelphia Union,Mls,2021
5,Ilsinho,"$ 8,654","$ 450,000",RM,35,Reserve,"Dec 31, 2021",1-yr,"$ 450,000",Philadelphia Union,Mls,2021
6,Kai Wagner,"$ 8,654","$ 450,000",LB,24,Starter,"Dec 31, 2022",2-yrs,"$ 900,000",Philadelphia Union,Mls,2021
7,Stuart Findlay,"$ 8,173","$ 425,000",CB,25,Reserve,"Dec 31, 2022",2-yrs,"$ 850,000",Philadelphia Union,Mls,2021
8,Jakob Glesnes,"$ 8,173","$ 425,000",CB,27,Starter,"Dec 31, 2021",1-yr,"$ 425,000",Philadelphia Union,Mls,2021
9,Cory Burke,"$ 6,731","$ 350,000",CF,29,Starter,"Dec 31, 2022",2-yrs,"$ 700,000",Philadelphia Union,Mls,2021
10,Jack Elliott,"$ 6,250","$ 325,000",CB,25,Starter,"Dec 31, 2021",1-yr,"$ 325,000",Philadelphia Union,Mls,2021
11,Matej Oravec,"$ 5,192","$ 270,000",DM,23,Reserve,"Dec 31, 2022",2-yrs,"$ 540,000",Philadelphia Union,Mls,2021
12,José Andrés Martínez,"$ 4,327","$ 225,000",DM,26,Reserve,"Dec 31, 2022",2-yrs,"$ 450,000",Philadelphia Union,Mls,2021
13,Joe Bendik,"$ 3,846","$ 200,000",GK,32,Reserve,"Dec 31, 2021",1-yr,"$ 200,000",Philadelphia Union,Mls,2021
14,Jack de Vries,"$ 2,308","$ 120,000",RM,19,Reserve,"Dec 31, 2021",1-yr,"$ 120,000",Philadelphia Union,Mls,2021
15,Anthony Fontana,"$ 1,923","$ 100,008",AM,21,Starter,"Dec 31, 2021",1-yr,"$ 100,008",Philadelphia Union,Mls,2021
16,Matt Freese,"$ 1,861","$ 96,750",GK,22,Reserve,"Dec 31, 2021",1-yr,"$ 96,750",Philadelphia Union,Mls,2021
17,Matt Real,"$ 1,731","$ 90,000",LB,21,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",Philadelphia Union,Mls,2021
18,Olivier Mbaizo,"$ 1,721","$ 89,513",RB,23,Starter,"Dec 31, 2021",1-yr,"$ 89,513",Philadelphia Union,Mls,2021
