"","Player","Nation","Team","League","Season","TeamElo","AgeDuringSeason","CurrentAge","Position","PlayStyle","Min","Starts","PercentLeftFooted","PercentRightFooted","Footedness","DAVIES","DAVIESPer90","xGoalsAdded","xGoalsAddedAbovePlayStyle","xGoalsAddedPer90","Salary($)","xSalary($)","CurrentMarketValue(€)","xMarketValue(€)","xGAM"
"127","Edin Dzeko","BIH","Roma","Serie A","2018-2019","1747.43","32","34","FW","Finisher","2579","28","21.19","78.81","Right","6.44","0.11","10.25","6.84","0.36","9424123","8713511","10000000","",""
"128","Jose Luis Morales","ESP","Levante","La Liga","2017-2018","1693.33","30","33","MF,FW","Dribbler","3053","35","18.59","81.41","Right","6.44","0.04","9.63","6.63","0.28","","","5000000","",""
"129","Daniel Caligiuri","ITA","Schalke 04","Bundesliga","2018-2019","1646.45","30","32","DF","DefensiveWideProgressor","2756","31","12.98","87.02","Right","6.41","0.14","9.35","6.62","0.31","2817172","4425204","3000000","",""
"130","Carlos Vela","MEX","Los Angeles FC","MLS","2018","","28","31","FW,MF","Playmaker","2378","26","88.21","11.79","Left","6.4","0.16","10.31","6.62","0.39","6292500","4351130","15000000","","633333"
"131","Ivan Perisic","CRO","Inter","Serie A","2018-2019","1730.07","29","31","FW,MF","Dribbler","2701","30","43.75","56.25","Dual","6.37","0.08","9.57","6.57","0.32","8376873","5619229","","",""
"132","Rodrigo","ESP","Valencia","La Liga","2017-2018","1797.27","26","29","FW","Finisher","2670","31","84.08","15.92","Left","6.37","0.09","9.92","6.51","0.33","","","40000000","",""
"133","Andrea Belotti","ITA","Torino","Serie A","2018-2019","1692.6","24","27","FW","Finisher","3299","37","18.83","81.17","Right","6.35","0.03","9.9","6.49","0.27","3769423","4203889","35000000","",""
"134","Riccardo Orsolini","ITA","Bologna","Serie A","2019-2020","1584.17","22","23","FW,MF","Playmaker","2681","32","90.11","9.89","Left","6.35","0.12","10.05","6.36","0.34","","","22000000","28378697",""
"135","Angel Di Maria","ARG","Paris S-G","Ligue 1","2018-2019","1824.47","30","32","FW,MF","Playmaker","2324","28","92.98","7.02","Left","6.33","0.16","10.24","6.56","0.4","15040371","21008790","32000000","",""
"136","Diego Valeri","ARG","Portland","MLS","2018","","31","34","MF,FW","Playmaker","2743","31","4.66","95.34","Right","6.31","0.09","10.02","6.34","0.33","2380000","2340921","2000000","","615519"
"137","Gerard Moreno","ESP","Villarreal","La Liga","2019-2020","1771.16","27","28","FW,MF","Playmaker","2744","33","82.71","17.29","Left","6.29","0.1","10.2","6.52","0.33","4026146","4268302","30000000","38805900",""
"138","Remy Cabella","FRA","Saint-Etienne","Ligue 1","2018-2019","1655.54","28","30","MF,FW","Playmaker","2997","34","15.14","84.86","Right","6.28","0.07","10.19","6.51","0.31","2569496","3606176","","",""
"139","Richarlison","BRA","Watford","Premier League","2017-2018","1622.38","20","23","FW,MF","Finisher","2823","32","24.11","75.89","Right","6.28","0.04","9.23","5.82","0.29","","","","",""
"140","Matt Doherty","IRL","Wolves","Premier League","2018-2019","1719.59","26","28","DF,MF","DefensiveWideProgressor","3144","35","7.79","92.21","Right","6.27","0.1","9.21","6.48","0.26","686052","2688886","16000000","",""
"141","Gyasi Zardes","USA","Columbus","MLS","2018","","26","29","FW","Finisher","2945","33","19.35","80.65","Right","6.23","0.06","9.78","6.37","0.3","630000","1108078","3500000","","600776"
"142","Thomas Muller","GER","Bayern Munich","Bundesliga","2018-2019","1944.13","28","31","MF,FW","Dribbler","2378","28","13.81","86.19","Right","6.22","0.12","9.41","6.42","0.36","16906422","11141779","35000000","",""
"143","Marcus Thuram","FRA","Guingamp","Ligue 1","2018-2019","1467.78","20","23","FW,MF","Dribbler","2571","32","22.02","77.98","Right","6.21","0.09","9.27","6.27","0.32","627672","1184719","","",""
"144","Darwin Quintero","COL","Minnesota","MLS","2018","","30","33","MF,FW","Playmaker","2392","27","11.92","88.08","Right","6.21","0.15","10.12","6.44","0.38","1650000","1769549","","","621662"
"145","Josip Ilicic","SVN","Atalanta","Serie A","2017-2018","1732.39","29","32","FW,MF","Dribbler","2002","21","83.8","16.2","Left","6.2","0.18","9.39","6.4","0.42","","","","",""
"146","Josip Ilicic","SVN","Atalanta","Serie A","2019-2020","1844.2","31","32","FW","Playmaker","1663","21","83.12","16.88","Left","6.19","0.29","9.91","6.22","0.54","2094501","11077835","","",""
"147","Pablo Sarabia","ESP","Sevilla","La Liga","2018-2019","1744.58","26","28","MF,FW","Playmaker","2724","30","80.37","19.63","Left","6.18","0.1","10.09","6.41","0.33","3242405","3756310","","",""
"148","Matteo Politano","ITA","Sassuolo","Serie A","2017-2018","1595.5","23","27","FW","Dribbler","2812","33","85.57","14.43","Left","6.18","0.06","9.23","6.24","0.3","","","","",""
"149","Christian Pulisic","USA","Dortmund","Bundesliga","2017-2018","1737.74","18","22","FW","Dribbler","2302","27","20.47","79.53","Right","6.17","0.07","7.89","4.89","0.31","","","","",""
"150","Roberto Firmino","BRA","Liverpool","Premier League","2017-2018","1913.55","25","29","FW","Finisher","2763","32","17.67","82.33","Right","6.16","0.07","9.71","6.3","0.32","","","72000000","",""
"151","Maximiliano Urruti","ARG","FC Dallas","MLS","2018","","26","29","FW,MF","Finisher","2733","30","6.36","93.64","Right","6.1","0.07","9.65","6.24","0.32","781000","2437386","","","592790"
"152","Bradley Wright-Phillips","ENG","NY Red Bulls","MLS","2018","","32","35","FW","Finisher","2532","28","15.07","84.93","Right","6.1","0.1","9.91","6.5","0.35","","","","","608762"
"153","Sergio Ramos","ESP","Real Madrid","La Liga","2019-2020","1921.36","33","34","DF","PossessionOrientedCentralDefender","3013","35","14.2","85.8","Right","6.09","0.11","8.86","6.06","0.26","22618800","16811239","14000000","21186740",""
"154","Wissam Ben Yedder","FRA","Monaco","Ligue 1","2019-2020","1587.32","28","30","FW","Finisher","2164","25","49.14","50.86","Dual","6.09","0.16","9.64","6.23","0.4","","","40000000","33271770",""
"155","Sebastian Giovinco","ITA","Toronto FC","MLS","2018","","31","33","FW","Finisher","2385","26","19.98","80.02","Right","6.09","0.12","9.9","6.5","0.37","7115556","7169895","","","608148"
"156","Wahbi Khazri","TUN","Saint-Etienne","Ligue 1","2018-2019","1655.54","27","29","FW,MF","Playmaker","2817","32","5.36","94.64","Right","6.09","0.09","10","6.32","0.32","1573138","2659566","","",""
"157","Pierre-Emerick Aubameyang","GAB","Arsenal","Premier League","2019-2020","1803.37","30","31","FW","Finisher","3136","35","11.87","88.13","Right","6.08","0.03","9.63","6.22","0.28","12348929","10723551","56000000","47149083",""
"158","Jorge Molina","ESP","Getafe","La Liga","2017-2018","1719.8","35","38","FW","Finisher","2779","31","30.56","69.44","Right","6.08","0.07","9.89","6.48","0.32","","","1500000","",""
"159","Leo Dubois","FRA","Nantes","Ligue 1","2017-2018","1576.06","22","26","DF","DefensiveWideProgressor","3020","34","15.06","84.94","Right","6.06","0.1","8.66","5.93","0.26","","","","",""
"160","Nabil Fekir","FRA","Betis","La Liga","2019-2020","1666.35","26","27","MF,FW","Dribbler","2638","31","88.4","11.6","Left","6.05","0.08","9.24","6.24","0.32","","","32000000","34365813",""
"161","Thomas Muller","GER","Bayern Munich","Bundesliga","2019-2020","2009.57","29","31","MF,FW","Playmaker","2255","26","15.44","84.56","Right","6.03","0.16","9.94","6.26","0.4","16906422","20418792","35000000","49510567",""
"162","Rony Lopes","POR","Monaco","Ligue 1","2017-2018","1769.25","21","25","FW,MF","Dribbler","2532","32","72.69","27.31","Left","6.02","0.08","9.08","6.08","0.32","","","","",""
"163","Angel Di Maria","ARG","Paris S-G","Ligue 1","2017-2018","1878.75","29","32","FW","Playmaker","2108","26","92.33","7.67","Left","5.99","0.19","9.9","6.22","0.42","","","32000000","",""
"164","Cesar Azpilicueta","ESP","Chelsea","Premier League","2019-2020","1823.89","29","31","DF","DefensiveWideProgressor","3229","36","12.23","87.77","Right","5.99","0.09","8.93","6.2","0.25","6174464","6990450","24000000","27724533",""
"165","Victor Osimhen","NGA","Lille","Ligue 1","2019-2020","1662.4","20","22","FW","Finisher","2287","25","10.85","89.15","Right","5.99","0.1","8.94","5.53","0.35","","","40000000","36409010",""
"166","Houssem Aouar","FRA","Lyon","Ligue 1","2018-2019","1726.96","20","22","MF","AttackingCentralProgressor","3061","35","7.9","92.1","Right","5.97","0.09","8.58","5.83","0.25","1577661","991995","49500000","",""
"167","Giovanni Simeone","ARG","Fiorentina","Serie A","2017-2018","1682.86","22","25","FW","Finisher","2998","36","12.95","87.05","Right","5.97","0.02","8.93","5.52","0.27","","","","",""
"168","Raul Jimenez","MEX","Wolves","Premier League","2018-2019","1719.59","27","29","FW","Finisher","3111","36","8.44","91.56","Right","5.96","0.03","9.51","6.1","0.28","2828644","4540726","40000000","",""
"169","Cristian Espinoza","ARG","San Jose","MLS","2019","","23","25","FW,MF","Dribbler","2524","30","13.87","86.13","Right","5.96","0.08","9.01","6.02","0.32","550000","960795","2000000","","553476"
"170","Florian Thauvin","FRA","Marseille","Ligue 1","2018-2019","1636.44","25","27","FW,MF","Dribbler","2613","30","87.1","12.9","Left","5.95","0.08","9.14","6.14","0.31","5544999","3289347","","",""
"171","Julian Brandt","GER","Leverkusen","Bundesliga","2018-2019","1760.88","22","24","MF,FW","Playmaker","2666","30","17.56","82.44","Right","5.95","0.1","9.65","5.97","0.33","4507927","3464894","","",""
"172","Christian Eriksen","DEN","Tottenham","Premier League","2017-2018","1910.87","25","28","MF,FW","Playmaker","3218","37","24.47","75.53","Right","5.92","0.04","9.83","6.15","0.27","","","60000000","",""
"173","Achraf Hakimi","MAR","Dortmund","Bundesliga","2019-2020","1834.14","20","22","DF,FW","AttackingCentralProgressor","2715","29","11.53","88.47","Right","5.91","0.12","8.51","5.77","0.28","1690755","1174193","54000000","55927267",""
"174","Felipe Anderson","BRA","West Ham","Premier League","2018-2019","1729.39","25","27","FW,MF","Playmaker","3043","36","11.66","88.34","Right","5.91","0.06","9.82","6.14","0.29","5831439","5643950","25000000","",""
"175","Andrea Belotti","ITA","Torino","Serie A","2019-2020","1581.91","25","27","FW","Finisher","3008","34","18.85","81.15","Right","5.91","0.04","9.46","6.05","0.28","3769423","4482388","35000000","20687610",""
"176","Ciro Immobile","ITA","Lazio","Serie A","2018-2019","1658.64","28","30","FW","Finisher","2859","31","9.65","90.35","Right","5.88","0.05","9.43","6.02","0.3","4816673","4642735","45000000","",""
"177","Son Heung-min","KOR","Tottenham","Premier League","2019-2020","1808.91","27","28","FW,MF","Dribbler","2476","28","14.18","85.82","Right","5.86","0.09","9.05","6.06","0.33","","","","",""
"178","Aleksandar Katai","SRB","Chicago","MLS","2018","","26","29","FW,MF","Dribbler","2426","27","20.22","79.78","Right","5.86","0.1","9.05","6.05","0.34","1320333","1001196","","","555933"
"179","Aymeric Laporte","FRA","Manchester City","Premier League","2018-2019","2037.31","24","26","DF","PossessionOrientedCentralDefender","3057","34","74.75","25.25","Left","5.84","0.11","8.92","6.12","0.26","8232619","6530078","60000000","",""
"180","Milan Skriniar","SVK","Inter","Serie A","2017-2018","1752.6","22","25","DF","LowBlockCentralDefender","3420","38","13.95","86.05","Right","5.8","0.08","7.87","5.43","0.21","","","50000000","",""
"181","Youcef Attal","ALG","Nice","Ligue 1","2018-2019","1596.18","22","24","DF,MF","Dribbler","2263","25","6.3","93.7","Right","5.8","0.11","8.85","5.86","0.35","","","","",""
"182","Roberto Firmino","BRA","Liverpool","Premier League","2018-2019","2043.53","26","29","FW,MF","Playmaker","2607","31","13.63","86.37","Right","5.78","0.1","9.69","6","0.33","12348929","20696517","72000000","",""
"183","Callum Wilson","ENG","Bournemouth","Premier League","2018-2019","1690.68","26","28","FW","Finisher","2528","29","18.16","81.84","Right","5.76","0.09","9.31","5.91","0.33","2744206","6143442","20000000","",""
"184","Michael Barrios","COL","FC Dallas","MLS","2019","","27","29","FW","Dribbler","2724","31","9.35","90.65","Right","5.76","0.06","8.95","5.95","0.3","500000","641182","2000000","","549790"
"185","Sergio Aguero","ARG","Manchester City","Premier League","2017-2018","1970.75","29","32","FW","Finisher","1963","22","12.4","87.6","Right","5.73","0.18","9.28","5.87","0.43","","","52000000","",""
"186","Adama Traore","ESP","Wolves","Premier League","2019-2020","1782.63","23","24","FW,MF","Dribbler","2605","27","10.29","89.71","Right","5.73","0.06","8.78","5.78","0.3","2950022","5666933","35000000","42076400",""
"187","Jamie Vardy","ENG","Leicester City","Premier League","2018-2019","1738.56","31","33","FW","Finisher","2726","30","27.56","72.44","Right","5.72","0.07","9.53","6.13","0.31","9604722","7949228","16000000","",""
"188","Richarlison","BRA","Everton","Premier League","2019-2020","1720.04","22","23","FW","Finisher","3070","36","25.72","74.28","Right","5.7","0","8.66","5.25","0.25","6174464","5829769","52000000","41859917",""
"189","Aleksandar Katai","SRB","Chicago","MLS","2019","","27","29","FW,MF","Dribbler","2100","24","21.29","78.71","Right","5.7","0.14","8.89","5.89","0.38","1380333","1009319","","","546104"
"190","Anthony Martial","FRA","Manchester Utd","Premier League","2019-2020","1876.21","23","25","FW","Finisher","2624","31","18.01","81.99","Right","5.69","0.05","8.65","5.24","0.3","7546568","6696699","58000000","56868267",""
"191","Daniel Parejo","ESP","Valencia","La Liga","2018-2019","1809.51","29","31","MF","AttackingCentralProgressor","3061","35","7.82","92.18","Right","5.69","0.09","8.83","6.09","0.26","","","","",""
"192","Florian Niederlechner","GER","Augsburg","Bundesliga","2019-2020","1605.48","28","30","FW,MF","Finisher","2720","31","17.97","82.03","Right","5.67","0.06","9.22","5.81","0.31","","","10000000","15631053",""
"193","Gareth Bale","WAL","Real Madrid","La Liga","2017-2018","2020.97","28","31","FW,MF","Dribbler","1794","20","89.94","10.06","Left","5.66","0.2","8.85","5.85","0.44","","","28000000","",""
"194","Serge Gnabry","GER","Bayern Munich","Bundesliga","2018-2019","1944.13","23","25","FW,MF","Dribbler","1762","21","23.68","76.32","Right","5.65","0.21","8.71","5.71","0.44","5072266","3324071","90000000","",""
"195","Luciano Acosta","ARG","D.C. United","MLS","2018","","23","26","MF","Playmaker","2746","32","18.68","81.32","Right","5.64","0.09","9.34","5.65","0.31","652000","689144","","","573747"
"196","Gerard Pique","ESP","Barcelona","La Liga","2018-2019","1997.04","31","33","DF","PossessionOrientedCentralDefender","3150","35","4.37","95.63","Right","5.63","0.08","8.4","5.6","0.24","14408176","10472778","15000000","",""
"197","Tammy Abraham","ENG","Chelsea","Premier League","2019-2020","1823.89","21","23","FW","Finisher","2215","25","9.2","90.8","Right","5.6","0.1","8.56","5.15","0.35","","","40000000","42777183",""
"198","Rodrigo De Paul","ARG","Udinese","Serie A","2018-2019","1561.08","24","26","MF,FW","Playmaker","3189","36","4.2","95.8","Right","5.58","0.03","9.49","5.81","0.27","","","","",""
"199","Aleksandar Mitrovic","SRB","Fulham","Premier League","2018-2019","1585.52","23","26","FW","Finisher","3280","37","11.57","88.43","Right","5.58","-0.02","8.53","5.13","0.23","4116310","4911204","","",""
"200","Diogo Jota","POR","Wolves","Premier League","2019-2020","1782.63","22","24","FW,MF","Dribbler","2284","27","32.26","67.74","Right","5.57","0.1","8.62","5.63","0.34","3773284","4373389","28000000","37165083",""
"201","Malcom","BRA","Bordeaux","Ligue 1","2017-2018","1633.16","20","23","FW,MF","Playmaker","2856","32","86.33","13.67","Left","5.56","0.07","9.26","5.58","0.29","","","","",""
"202","Joaquin Correa","ARG","Lazio","Serie A","2019-2020","1735.73","24","26","FW,MF","Finisher","2002","22","10.81","89.19","Right","5.55","0.17","9.1","5.69","0.41","2722173","4368941","30000000","32289867",""
"203","Houssem Aouar","FRA","Lyon","Ligue 1","2017-2018","1764.4","19","22","MF,FW","AttackingCentralProgressor","2430","27","6.5","93.5","Right","5.54","0.11","6.81","4.06","0.25","","","49500000","",""
"204","Jeremie Boga","CIV","Sassuolo","Serie A","2019-2020","1644.71","22","23","FW","Dribbler","2513","28","9.42","90.58","Right","5.54","0.07","8.6","5.6","0.31","838027","1732942","25000000","26294513",""
"205","Rodrigo","ESP","Valencia","La Liga","2018-2019","1809.51","27","29","FW","Finisher","2528","29","86.26","13.74","Left","5.53","0.08","9.08","5.67","0.32","7709618","6837108","40000000","",""
"206","Alphonso Davies","CAN","Bayern Munich","Bundesliga","2019-2020","2009.57","18","20","DF","OffensiveWideProgressor","2234","24","84.22","15.78","Left","5.53","0.13","7.32","4.15","0.29","588089","1180462","80000000","67955050",""
"207","Andrew Robertson","SCO","Liverpool","Premier League","2019-2020","1994.79","25","26","DF","OffensiveWideProgressor","3111","34","92.61","7.39","Left","5.52","0.08","8.99","5.81","0.26","3430258","4036852","64000000","62069800",""
"208","Riyad Mahrez","ALG","Leicester City","Premier League","2017-2018","1693.43","26","29","MF,FW","Playmaker","2950","34","90.18","9.82","Left","5.52","0.05","9.43","5.74","0.29","","","","",""
"209","Paulo Dybala","ARG","Juventus","Serie A","2019-2020","1860.02","25","27","FW,MF","Playmaker","2155","25","88.83","11.17","Left","5.51","0.16","9.42","5.74","0.39","14660375","10880820","80000000","72210150",""
"210","Nico Schulz","GER","Hoffenheim","Bundesliga","2018-2019","1726.84","25","27","DF,MF","OffensiveWideProgressor","2537","29","81.83","18.17","Left","5.5","0.13","8.97","5.79","0.32","1470222","1963001","","",""
"211","Eduard Atuesta","COL","Los Angeles FC","MLS","2019","","21","23","MF","AttackingCentralProgressor","2631","30","17.1","82.9","Right","5.49","0.12","8.09","5.34","0.28","493000","727053","3500000","","496961"
"212","Neymar","BRA","Paris S-G","Ligue 1","2019-2020","1895.8","27","28","MF,FW","Playmaker","1318","15","14.08","85.92","Right","5.47","0.41","9.38","5.69","0.64","41481748","25517605","128000000","96638117",""
"213","Borja Iglesias","ESP","Espanyol","La Liga","2018-2019","1735.7","25","27","FW","Finisher","3075","35","19.69","80.31","Right","5.45","0.02","9.01","5.6","0.26","2411164","4001392","","",""
"214","Nathan Redmond","ENG","Southampton","Premier League","2018-2019","1673.84","24","26","FW,MF","Dribbler","3270","36","9.94","90.06","Right","5.42","0","8.61","5.62","0.24","4116310","3706354","18000000","",""
"215","Ola Kamara","NOR","LA Galaxy","MLS","2018","","28","31","FW","Finisher","2689","30","16.77","83.23","Right","5.4","0.06","8.96","5.55","0.3","925000","1122254","","","550404"
"216","Francesco Caputo","ITA","Sassuolo","Serie A","2019-2020","1644.71","31","33","FW","Finisher","2931","33","17.84","82.16","Right","5.4","0.03","9.21","5.8","0.28","","","7500000","11813727",""
"217","Duvan Zapata","COL","Atalanta","Serie A","2019-2020","1844.2","28","29","FW","Finisher","2026","25","21.44","78.56","Right","5.39","0.15","8.94","5.53","0.4","3141751","4446484","40000000","43122467",""
"218","Nabil Fekir","FRA","Lyon","Ligue 1","2017-2018","1764.4","24","27","MF,FW","Playmaker","2477","28","89.32","10.68","Left","5.38","0.1","9.29","5.61","0.34","","","","",""
"219","Jack Grealish","ENG","Aston Villa","Premier League","2019-2020","1622.7","23","25","FW,MF","Playmaker","3233","36","7.03","92.97","Right","5.37","0.03","9.07","5.39","0.25","","","40000000","39445117",""
